seed,hidden,top,confidence,correct,p_h0,p_top_vessel,top_vessel_correct
148,False,H0,0.5448912487821858,False,0.5448912487821858,0.4038552902548779,True
149,False,H0,0.6470838135568584,False,0.6470838135568584,0.2163316498994209,True
150,False,H0,0.5048399928595823,False,0.5048399928595823,0.23234976459571513,True
151,False,H0,0.4591325485731315,False,0.4591325485731315,0.23711908863534126,True
152,False,H0,0.41885114516981165,False,0.41885114516981165,0.3475439799213373,True
153,False,H0,0.5465845855622712,False,0.5465845855622712,0.20535941278353556,True
154,True,H0,0.5195695503763802,True,0.5195695503763802,0.1912552584821595,False
155,True,H0,0.7157163325996401,True,0.7157163325996401,0.17241667488598347,False
156,True,H0,0.7406888169524458,True,0.7406888169524458,0.13036608297930222,False
157,True,H0,0.5673837130401576,True,0.5673837130401576,0.26166096369290953,False
158,True,H0,0.5864025202107356,True,0.5864025202107356,0.3292048064775451,False
159,False,H0,0.4814598953666147,False,0.4814598953666147,0.1955012168111201,True
160,False,H0,0.5249888853890525,False,0.5249888853890525,0.20797276873058915,False
161,False,H0,0.53181394241357,False,0.53181394241357,0.15713315825673943,True
162,False,H0,0.5031411029758929,False,0.5031411029758929,0.22079156683461845,True
163,False,H0,0.47563855006168604,False,0.47563855006168604,0.2885887599989433,True
164,False,H0,0.4716425482932748,False,0.4716425482932748,0.2937330946677438,True
165,False,H0,0.5320687701574,False,0.5320687701574,0.1622655663870885,True
166,False,H0,0.43922089004820863,False,0.43922089004820863,0.14261718161739337,False
167,True,H0,0.8497952248455376,True,0.8497952248455376,0.1318631445102949,False
168,False,H0,0.6090672334414724,False,0.6090672334414724,0.20913097942151024,True
169,True,H0,0.6777347253238816,True,0.6777347253238816,0.29784538347562345,False
170,False,H0,0.5393655243972018,False,0.5393655243972018,0.25172986046393986,True
171,False,419171002,0.6223804300078574,True,0.3776195699921426,0.6223804300078574,True
172,False,H0,0.5399945995199869,False,0.5399945995199869,0.2591984002785,True
173,False,H0,0.6230018885659423,False,0.6230018885659423,0.16328133797177258,True
174,True,H0,0.6925443590173641,True,0.6925443590173641,0.20132426754741664,False
175,False,H0,0.4774261869114627,False,0.4774261869114627,0.1627755812320912,True
176,False,H0,0.3949820507985196,False,0.3949820507985196,0.3590496476093124,True
177,True,419177004,0.5313864394072985,False,0.4686135605927014,0.5313864394072985,False
178,False,H0,0.5723790497732109,False,0.5723790497732109,0.1970959877077253,True
179,False,H0,0.4961721288637044,False,0.4961721288637044,0.35392963025727964,True
180,False,H0,0.5117815203983399,False,0.5117815203983399,0.4597213998957442,True
181,True,419181002,0.6393723717568355,False,0.36062762824316447,0.6393723717568355,False
182,False,H0,0.48136448121622083,False,0.48136448121622083,0.2102318465645143,True
183,False,H0,0.6130249447973176,False,0.6130249447973176,0.24877620889894903,True
184,True,H0,0.5144833000736581,True,0.5144833000736581,0.24197767985799168,False
185,True,H0,0.7207689286662038,True,0.7207689286662038,0.10641432002916146,False
186,False,H0,0.5257759209142205,False,0.5257759209142205,0.4009628342169393,True
187,True,H0,0.8572815006056093,True,0.8572815006056093,0.06805008944003796,False
188,True,H0,0.5440802106305334,True,0.5440802106305334,0.2470661886548949,False
189,True,H0,0.5056564727799333,True,0.5056564727799333,0.14304100186822882,False
190,False,H0,0.6780563879295103,False,0.6780563879295103,0.29572584729575235,True
191,False,H0,0.5216474059353617,False,0.5216474059353617,0.13846713125054072,True
192,False,H0,0.405450726931583,False,0.405450726931583,0.17895735741478322,False
193,False,H0,0.49716664858930376,False,0.49716664858930376,0.43358119165891573,True
194,False,H0,0.5519072742906139,False,0.5519072742906139,0.22209490633544696,True
195,False,H0,0.5425699075299403,False,0.5425699075299403,0.24854656289909294,True
196,True,H0,0.3778564594111207,True,0.3778564594111207,0.35544413905482836,False
197,False,H0,0.5881812801548914,False,0.5881812801548914,0.20970492682463454,True
198,True,H0,0.6040471365351521,True,0.6040471365351521,0.39595286346484787,False
199,False,H0,0.43499833813647476,False,0.43499833813647476,0.39905417978014307,True
200,False,H0,0.6095625825624621,False,0.6095625825624621,0.30558722027143376,True
